customer_id,customer_type,customer_tier,payment_amount,customer_country,nth_subscription,subscription_expires,subscription_length,subscription_started,subscriptions_purchased,outcome,customer_size,renewal_status
4777,Direct,Tier 2,8379.47,Poland,1,14/10/2021,1 Year,14/10/2020,55,Renewed,Medium,New
4777,Direct,Tier 2,8339.51,Poland,2,14/10/2022,1 Year,14/10/2021,55,Renewed#N/A,Medium,Renewal
4777,Direct,Tier 2,1435.38,Poland,3,14/01/2023,1 Month,14/10/2022,45,Renewed,Small,Downgrade
4777,Direct,Tier 2,1548.13,Poland,4,14/04/2023,1 Month,14/01/2023,45,Renewed,Small,Renewal
4777,Direct,Tier 2,1739.13,Poland,5,14/07/2023,1 Month,14/04/2023,50,Renewed,Medium,Upgrade
4777,Direct,Tier 2,1774.89,Poland,6,45213,1 Month,45121,50,Renewed,Medium,Renewal
4777,Direct,Tier 2,1729.52,Poland,7,14/01/2024,1 Month,14/10/2023,50,Renewed,Medium,Renewal
4777,Direct,Tier 2,1779.91,Poland,8,15/04/2024,1 Month,15/01/2024,50,Renewed,Medium,Renewal
4777,Direct,Tier 2,1765.16,Poland,9,15/07/2024,1 Month,15/04/2024,50,Ongoing,Medium,Renewal
5083,Direct,Tier 2,776.42,Lithuania,1,30/03/2021,1 Year,30/03/2020,4,Churned,Small,New
5134,Direct,Tier 2,905.66,Norway,1,22/05/2021,1 Year,22/05/2020,5,Churned,Small,New
5185,Direct,Tier 2,724.52,Mexico,1,30/06/2021,1 Year,30/06/2020,4,Churned,Small,New
5236,Direct,Tier 2,157,Argentina,1,30/06/2021,1 Year,30/06/2020,2,Churned,Small,New
5746,Direct,Tier 2,2361.45,Chile,1,03/11/2021,1 Year,03/11/2020,13,Renewed,Small,New
5746,Direct,Tier 2,2692.05,Chile,2,03/11/2022,1 Year,03/11/2021,13,Renewed,Small,Renewal
5746,Direct,Tier 2,2557.11,Chile,3,45233,1 Year,44868,13,Renewed,Small,Renewal
5746,Direct,Tier 2,2692.05,Chile,4,03/11/2024,1 Year,03/11/2023,13,Ongoing,Small,Renewal
5967,Direct,Tier 2,14058.93,Switzerland,1,31/10/2024,2 Year,31/10/2022,73,Ongoing,Medium,New
6120,Direct,Tier 2,2582.8,Spain,1,03/11/2021,1 Year,03/11/2020,11,Renewed,Small,New
6120,Direct,Tier 2,9262.77,Spain,2,15/10/2022,1 Year,15/10/2021,38,Renewed#N/A,Small,Upgrade
6120,Direct,Tier 2,16426.35,Spain,3,15/11/2023,1 Year,15/11/2022,75,Renewed,Medium,Upgrade
6120,Direct,Tier 2,15575.97,Spain,4,22/11/2024,1 Year,14/11/2023,75,Ongoing,Medium,Renewal
6222,Direct,Tier 3,12688.21,Portugal,1,11/11/2021,1 Year,11/11/2020,70,Renewed,Medium,New
6222,Direct,Tier 3,16814.56,Portugal,2,03/11/2022,1 Year,03/11/2021,70,Renewed,Medium,Renewal
6222,Direct,Tier 3,12885.86,Portugal,3,45238,1 Year,44873,70,Renewed,Medium,Renewal
6222,Direct,Tier 3,21913.74,Portugal,4,17/11/2026,2 Year,17/11/2023,50,Ongoing,Medium,Downgrade
7548,Direct,Tier 2,19924.41,Italy,1,11/11/2022,2 Year,11/11/2020,55,Renewed,Medium,New
7548,Direct,Tier 2,24445.64,Italy,2,05/11/2025,3 Year,05/11/2022,55,Ongoing,Medium,Renewal
8007,Direct,Tier 2,3106.22,Croatia,1,08/12/2021,1 Year,08/12/2020,15,Renewed,Small,New
8007,Direct,Tier 2,2981.66,Croatia,2,08/12/2022,1 Year,12/11/2021,15,Churned,Small,Renewal
8619,Direct,Tier 2,2536.74,Austria,1,09/12/2022,1 Year,05/07/2021,16,Renewed,Small,New
8619,Direct,Tier 2,4965.79,Austria,2,09/12/2024,2 Year,09/12/2022,16,Ongoing,Small,Renewal
8670,Direct,Tier 2,1449.57,Finland,1,13/11/2021,1 Year,13/11/2020,7,Renewed,Small,New
8670,Direct,Tier 2,414.16,Finland,2,13/11/2022,1 Year,25/10/2021,2,Churned,Small,Downgrade
9384,Partnership,Tier 2,6808.37,Ireland,1,15/02/2022,1 Year,15/02/2021,30,Renewed,Small,New
9384,Partnership,Tier 2,2685.61,Ireland,2,15/02/2024,1 Year,15/02/2023,15,Churned,Small,Downgrade
9435,Direct,Tier 2,4704.74,Belgium,1,21/11/2027,5 Year,14/11/2022,7,Ongoing,Small,New
9656,Direct,Tier 2,2173.57,Netherlands,1,24/11/2021,1 Year,24/11/2020,12,Renewed,Small,New
9656,Direct,Tier 2,2241.17,Netherlands,2,24/11/2023,1 Year,24/11/2022,12,Renewed,Small,Renewal
9656,Direct,Tier 2,4345.76,Netherlands,3,24/11/2026,3 Year,24/11/2023,15,Ongoing,Small,Upgrade
9962,Direct,Tier 2,1242.49,Denmark,1,03/12/2021,1 Year,03/12/2020,6,Churned,Small,New
10268,Direct,Tier 2,5815.4,Latvia,1,01/03/2027,3 Year,01/03/2024,15,Ongoing,Small,New
10574,Direct,Tier 2,1192.66,Estonia,1,15/12/2022,1 Year,15/12/2021,6,Renewed,Small,New
10574,Direct,Tier 2,1623.35,Estonia,2,15/12/2023,2 Year,15/12/2022,10,Renewed,Small,Upgrade
10574,Direct,Tier 2,2070.81,Estonia,3,15/12/2024,1 Year,15/12/2023,10,Ongoing,Small,Renewal
10727,Direct,Tier 2,2070.81,Hungary,1,20/03/2022,1 Year,20/03/2021,10,Renewed,Small,New
10727,Direct,Tier 2,2277.89,Hungary,2,31/03/2023,1 Year,31/03/2022,11,Renewed,Small,Upgrade
10727,Direct,Tier 2,2070.81,Hungary,3,20/04/2024,1 Year,20/04/2023,10,Renewed,Small,Downgrade
10727,Direct,Tier 2,2070.81,Hungary,4,23/04/2025,1 Year,23/04/2024,10,Ongoing,Small,Renewal
10778,Direct,Tier 2,578.25,Slovenia,1,18/05/2022,1 Year,18/05/2021,5,Renewed,Small,New
10778,Direct,Tier 2,1987.77,Slovenia,2,17/12/2022,1 Year,17/12/2021,10,Renewed,Small,Upgrade
10778,Direct,Tier 2,5586.52,Slovenia,3,18/12/2024,2 Year,18/12/2022,18,Ongoing,Small,Upgrade
10829,Direct,Tier 2,414.16,Slovakia,1,06/01/2022,1 Year,06/01/2021,2,Renewed,Small,New
10829,Direct,Tier 2,397.55,Slovakia,2,06/01/2023,1 Year,21/12/2021,2,Renewed,Small,Renewal
10829,Direct,Tier 2,481.11,Slovakia,3,06/01/2026,3 Year,06/01/2023,1,Ongoing,Small,Downgrade
11237,Direct,Tier 2,3975.63,Greece,1,27/01/2024,2 Year,23/12/2021,11,Renewed,Small,New
11237,Direct,Tier 2,3641.3,Greece,2,28/01/2026,2 Year,28/01/2024,9,Ongoing,Small,Downgrade
11339,Direct,Tier 2,2640.28,Turkey,1,21/06/2022,1 Year,13/01/2021,14,Renewed,Small,New
11339,Direct,Tier 2,4642.07,Turkey,2,13/01/2023,1 Year,13/01/2022,27,Churned,Large,Upgrade
11390,Direct,Tier 2,414.16,Japan,1,06/01/2022,1 Year,06/01/2021,2,Churned,Small,New
11441,Direct,Tier 2,6888.21,South Korea,1,15/02/2023,1 Year,29/03/2021,31,Renewed,Small,New
11441,Direct,Tier 2,6047.99,South Korea,2,15/02/2024,1 Year,15/02/2023,28,Renewed,Small,Downgrade
11441,Direct,Tier 2,15227.29,South Korea,3,15/05/2026,2 Year,06/02/2024,32,Ongoing,Small,Upgrade
11645,Direct,Tier 2,1505.75,Thailand,1,12/02/2022,1 Year,12/02/2021,6,Renewed,Small,New
11645,Direct,Tier 2,1417.86,Thailand,2,12/02/2023,1 Year,18/01/2022,6,Renewed#N/A,Small,Renewal
11645,Direct,Tier 2,1674.77,Thailand,3,15/02/2024,1 Year,15/02/2023,9,Renewed,Small,Upgrade
11645,Direct,Tier 2,2454.09,Thailand,4,15/05/2025,1 Year,15/02/2024,11,Ongoing,Small,Upgrade
14552,Direct,Tier 2,828.32,Vietnam,1,25/01/2022,1 Year,25/01/2021,4,Churned,Small,New
14807,Direct,Tier 2,6755.13,Ukraine,1,18/01/2022,1 Year,18/01/2021,30,Renewed,Small,New
14807,Direct,Tier 2,7250.56,Ukraine,2,27/01/2023,1 Year,14/01/2022,33,Renewed#N/A,Large,Upgrade
14807,Direct,Tier 2,7424.34,Ukraine,3,27/01/2024,1 Year,27/01/2023,33,Churned,Small,Renewal
15011,Direct,Tier 3,3187.18,New Zealand,1,22/01/2025,2 Year,22/01/2021,10,Ongoing,Small,New
15062,Direct,Tier 2,1254.38,USA,1,22/01/2022,1 Year,22/01/2021,5,Renewed,Small,New
15062,Direct,Tier 2,1124.15,USA,2,22/01/2023,1 Year,27/12/2021,5,Renewed#N/A,Small,Renewal
15062,Direct,Tier 2,1380.02,USA,3,23/01/2024,1 Year,23/01/2023,7,Churned,Small,Upgrade
15521,Direct,Tier 3,16867.5,USA,1,25/01/2022,1 Year,25/01/2021,130,Renewed,Medium,New
15521,Direct,Tier 3,20543.75,USA,2,31/03/2023,1 Year,31/03/2022,175,Renewed,Medium,Upgrade
15521,Direct,Tier 3,25085,USA,3,31/03/2024,1 Year,31/03/2023,200,Renewed,Medium,Upgrade
15521,Direct,Tier 3,27247.5,USA,4,31/03/2025,1 Year,31/03/2024,175,Ongoing,Medium,Downgrade
15878,Direct,Tier 2,1578.54,USA,1,17/02/2022,1 Year,17/02/2021,8,Renewed,Small,New
15878,Direct,Tier 2,1168.31,USA,2,17/02/2023,1 Year,17/02/2022,5,Churned,Small,Downgrade
17969,Direct,Tier 2,3058.68,USA,1,03/02/2024,2 Year,20/12/2021,9,Renewed,Small,New
17969,Direct,Tier 2,3650.99,USA,2,03/05/2026,2 Year,03/02/2024,9,Ongoing,Medium,Renewal
18071,Direct,Tier 2,5695.07,USA,1,04/02/2022,1 Year,04/02/2021,34,Renewed,Small,New
18071,Direct,Tier 2,7549.37,USA,2,04/02/2023,1 Year,12/01/2022,55,Renewed,Medium,Upgrade
18071,Direct,Tier 2,9718.19,USA,3,04/02/2024,1 Year,04/02/2023,60,Renewed,Medium,Upgrade
18071,Direct,Tier 2,21410.57,USA,4,08/10/2026,2 Year,08/02/2024,65,Ongoing,Medium,Upgrade
18122,Direct,Tier 2,2632.89,USA,1,08/02/2022,1 Year,02/12/2021,10,Renewed,Small,New
18122,Direct,Tier 2,1673.39,USA,2,08/02/2024,1 Year,08/02/2023,7,Renewed,Small,Downgrade
18122,Direct,Tier 2,1569.63,USA,3,08/02/2025,1 Year,08/02/2024,6,Ongoing,Small,Downgrade
23120,Direct,Tier 2,7575.8,USA,1,22/02/2023,1 Year,22/02/2021,42,Renewed#N/A,Small,New
23120,Direct,Tier 2,5963.31,USA,2,22/02/2024,1 Year,22/02/2023,30,Renewed,Medium,Downgrade
23120,Direct,Tier 2,6344.3,USA,3,22/02/2025,1 Year,22/02/2024,32,Ongoing,Small,Upgrade
23579,Direct,Tier 2,1449.57,USA,1,18/02/2022,1 Year,18/02/2021,7,Renewed,Small,New
23579,Direct,Tier 2,1449.57,USA,2,18/02/2023,1 Year,18/02/2022,7,Churned,Small,Renewal
23630,Direct,Tier 2,1387.11,USA,1,25/02/2023,1 Year,22/02/2022,5,Churned,Small,New
23783,Direct,Tier 2,828.32,USA,1,23/02/2022,1 Year,23/02/2021,4,Renewed,Small,New
23783,Direct,Tier 2,793.81,USA,2,24/02/2023,1 Year,24/02/2022,4,Churned,Small,Renewal
23834,Online,Tier 2,828.32,USA,1,23/02/2022,1 Year,23/02/2021,4,Churned,Small,New
24038,Direct,Tier 2,1035.41,USA,1,23/02/2022,1 Year,23/02/2021,5,Renewed,Small,New
24038,Direct,Tier 2,1035.41,USA,2,23/02/2023,1 Year,31/01/2022,5,Renewed#N/A,Small,Renewal
24038,Direct,Tier 2,1349.92,USA,3,23/02/2026,3 Year,23/02/2023,3,Ongoing,Small,Downgrade
24191,Direct,Tier 2,100.86,USA,1,24/04/2021,1 Month,24/02/2021,3,Renewed,Small,New
24191,Direct,Tier 2,2445.05,USA,2,28/05/2027,4 Year,28/02/2023,4,Ongoing,Medium,Upgrade
24293,Online,Tier 2,906.56,USA,1,24/02/2022,1 Year,24/02/2021,2,Renewed,Small,New
24293,Online,Tier 2,844.33,USA,2,24/02/2024,2 Year,24/02/2022,2,Churned,Small,Renewal
25007,Online,Tier 2,165.82,USA,1,26/04/2021,1 Month,26/02/2021,3,Renewed,Small,New
25007,Online,Tier 2,82.91,USA,2,26/05/2021,1 Month,26/04/2021,3,Churned,Small,Renewal
25772,Direct,Tier 2,75.86,USA,1,02/05/2021,1 Month,02/03/2021,1,Renewed,Small,New
25772,Direct,Tier 2,38.8,USA,2,10/06/2021,1 Month,10/05/2021,1,Renewed,Small,Renewal
25772,Direct,Tier 2,39.18,USA,3,08/07/2021,1 Month,08/06/2021,1,Renewed,Small,Renewal
25772,Direct,Tier 2,39.1,USA,4,10/07/2021,1 Month,10/06/2021,1,Renewed,Small,Renewal
25772,Direct,Tier 2,76.29,USA,5,09/08/2021,1 Month,09/07/2021,2,Renewed,Small,Upgrade
25772,Direct,Tier 2,76.55,USA,6,10/09/2021,1 Month,10/08/2021,2,Churned,Small,Renewal
26282,Direct,Tier 2,65.83,USA,1,04/04/2021,1 Month,04/03/2021,2,Renewed,Small,New
26282,Direct,Tier 2,8198.47,USA,2,10/03/2023,2 Year,10/03/2021,24,Renewed,Small,Upgrade
26282,Direct,Tier 2,11366.1,USA,3,10/03/2027,4 Year,10/03/2023,24,Ongoing,Small,Renewal
26486,Direct,Tier 2,1713.52,USA,1,29/03/2022,1 Year,29/03/2021,6,Renewed,Small,New
26486,Direct,Tier 2,1627.58,USA,2,28/03/2023,1 Year,28/03/2022,6,Renewed,Small,Renewal
26486,Direct,Tier 2,1619.41,USA,3,19/07/2024,1 Year,19/07/2023,6,Ongoing,Small,Renewal
26537,Direct,Tier 2,2590.85,USA,1,08/03/2023,2 Year,08/03/2021,8,Renewed,Small,New
26537,Direct,Tier 2,4961.64,USA,2,15/03/2028,5 Year,15/03/2023,8,Ongoing,Small,Renewal
26639,Online,Tier 2,110.55,USA,1,09/05/2021,1 Month,09/03/2021,2,Renewed,Small,New
26639,Online,Tier 2,55.27,USA,2,09/06/2021,1 Month,09/05/2021,2,Renewed,Small,Renewal
26639,Online,Tier 2,55.27,USA,3,09/07/2021,1 Month,09/06/2021,2,Renewed,Small,Renewal
26639,Online,Tier 2,55.27,USA,4,09/08/2021,1 Month,09/07/2021,2,Renewed,Small,Renewal
26639,Online,Tier 2,55.27,USA,5,09/09/2021,1 Month,09/08/2021,2,Churned,Small,Renewal
26690,Direct,Tier 2,499.02,USA,1,08/02/2022,1 Year,08/02/2021,2,Churned,Small,New
26741,Direct,Tier 2,493.96,USA,1,09/03/2022,1 Year,09/03/2021,2,Churned,Small,New
27047,Online,Tier 2,276.37,USA,1,11/05/2021,1 Month,11/03/2021,5,Churned,Small,New
27149,Direct,Tier 2,595.94,USA,1,17/03/2023,1 Year,17/03/2022,3,Renewed,Small,New
27149,Direct,Tier 2,655.32,USA,2,17/03/2024,1 Year,17/03/2023,3,Renewed,Small,Renewal
27149,Direct,Tier 2,672.97,USA,3,17/03/2025,1 Year,17/03/2024,3,Ongoing,Small,Renewal
27200,Online,Tier 2,76.99,USA,1,12/04/2021,1 Month,12/03/2021,2,Renewed,Small,New
27200,Online,Tier 2,75.77,USA,2,12/05/2021,1 Month,12/04/2021,2,Renewed,Small,Renewal
27200,Online,Tier 2,78.11,USA,3,12/06/2021,1 Month,12/05/2021,2,Churned,Small,Renewal
27914,Direct,Tier 2,1490.57,USA,1,16/03/2022,1 Year,16/03/2021,4,Renewed,Small,New
27914,Direct,Tier 2,828.32,USA,2,31/03/2023,1 Year,31/03/2022,4,Renewed,Small,Renewal
27914,Direct,Tier 2,828.32,USA,3,04/04/2024,1 Year,04/04/2023,4,Renewed,Small,Renewal
27914,Direct,Tier 2,1116.89,USA,4,04/04/2026,2 Year,04/04/2024,4,Ongoing,Small,Renewal
27965,Online,Tier 2,1035.79,USA,1,17/03/2022,1 Year,17/03/2021,2,Renewed,Small,New
27965,Online,Tier 2,972.17,USA,2,17/03/2024,2 Year,17/03/2022,2,Renewed,Small,Renewal
27965,Online,Tier 2,899.34,USA,3,17/03/2026,2 Year,17/03/2023,2,Ongoing,Small,Renewal
28220,Online,Tier 2,493.96,USA,1,17/03/2022,1 Year,17/03/2021,2,Renewed,Small,New
28220,Online,Tier 2,454.21,USA,2,17/03/2023,1 Year,17/03/2022,2,Renewed,Small,Renewal
28220,Online,Tier 2,438.25,USA,3,17/03/2024,1 Year,17/03/2023,2,Churned,Small,Renewal
28322,Direct,Tier 2,676.52,USA,1,15/04/2022,1 Year,17/03/2021,5,Renewed,Small,New
28322,Direct,Tier 2,621.24,USA,2,15/04/2023,1 Year,15/04/2022,3,Churned,Small,Downgrade
28475,Direct,Tier 2,1146.82,USA,1,31/03/2022,1 Year,17/03/2021,4,Renewed,Small,New
28475,Direct,Tier 2,1449.57,USA,2,17/03/2023,1 Year,16/03/2022,7,Renewed,Small,Upgrade
28475,Direct,Tier 2,1655.61,USA,3,17/03/2025,2 Year,17/03/2023,5,Ongoing,Small,Downgrade
28628,Online,Tier 2,55.27,USA,1,18/04/2021,1 Month,18/03/2021,2,Renewed,Small,New
28628,Online,Tier 2,55.27,USA,2,18/05/2021,1 Month,18/04/2021,2,Renewed,Small,Renewal
28628,Online,Tier 2,55.27,USA,3,18/06/2021,1 Month,18/05/2021,2,Renewed,Small,Renewal
28628,Online,Tier 2,55.27,USA,4,18/07/2021,1 Month,18/06/2021,2,Renewed,Small,Renewal
28628,Online,Tier 2,55.27,USA,5,18/08/2021,1 Month,18/07/2021,2,Renewed,Small,Renewal
28628,Online,Tier 2,55.27,USA,6,18/09/2021,1 Month,18/08/2021,2,Renewed,Small,Renewal
28628,Online,Tier 2,55.27,USA,7,18/10/2021,1 Month,18/09/2021,2,Renewed,Small,Renewal
28628,Online,Tier 2,55.27,USA,8,18/11/2021,1 Month,18/10/2021,2,Renewed,Small,Renewal
28628,Online,Tier 2,55.27,USA,9,18/12/2021,1 Month,18/11/2021,2,Churned,Small,Renewal
28679,Direct,Tier 2,1222.94,USA,1,18/03/2022,1 Year,18/03/2021,5,Renewed,Small,New
28679,Direct,Tier 2,1149.54,USA,2,22/04/2023,1 Year,11/04/2022,5,Churned,Small,Renewal
28730,Direct,Tier 2,2070.81,USA,1,19/03/2022,1 Year,19/03/2021,10,Renewed,Small,New
28730,Direct,Tier 2,2070.81,USA,2,19/03/2023,1 Year,19/03/2022,10,Churned,Small,Renewal
28781,Online,Tier 2,55.27,USA,1,19/04/2021,1 Month,19/03/2021,2,Renewed,Small,New
28781,Online,Tier 2,55.27,USA,2,19/05/2021,1 Month,19/04/2021,2,Churned,Small,Renewal
28934,Direct,Tier 2,3190.99,USA,1,22/03/2022,1 Year,22/03/2021,32,Renewed,Small,New
28934,Direct,Tier 2,8449.88,USA,2,22/03/2023,1 Year,22/03/2022,87,Renewed,Medium,Upgrade
28934,Direct,Tier 2,2156.66,USA,3,22/06/2023,1 Year,22/03/2023,39,Renewed,Small,Downgrade
28934,Direct,Tier 2,7866.4,USA,4,01/10/2024,1 Year,22/06/2023,74,Ongoing,Medium,Upgrade
29087,Online,Tier 2,191.17,USA,1,23/04/2021,1 Month,23/03/2021,5,Renewed,Small,New
29087,Online,Tier 2,192.51,USA,2,23/05/2021,1 Month,23/04/2021,5,Renewed,Small,Renewal
29087,Online,Tier 2,195.58,USA,3,23/06/2021,1 Month,23/05/2021,5,Renewed,Small,Renewal
29087,Online,Tier 2,192.42,USA,4,23/07/2021,1 Month,23/06/2021,5,Renewed,Small,Renewal
29087,Online,Tier 2,189.48,USA,5,23/08/2021,1 Month,23/07/2021,5,Renewed,Small,Renewal
29087,Online,Tier 2,188.22,USA,6,23/09/2021,1 Month,23/08/2021,5,Renewed,Large,Renewal
29087,Online,Tier 2,188.74,USA,7,23/10/2021,1 Month,23/09/2021,5,Renewed,Small,Renewal
29087,Online,Tier 2,190.56,USA,8,23/11/2021,1 Month,23/10/2021,5,Churned,Small,Renewal
29342,Online,Tier 2,1618.16,USA,1,24/03/2023,2 Year,24/03/2021,5,Renewed,Small,New
29342,Online,Tier 2,1863.21,USA,2,24/03/2025,2 Year,24/03/2023,5,Ongoing,Small,Renewal
29495,Online,Tier 2,414.16,USA,1,24/03/2022,1 Year,24/03/2021,2,Churned,Small,New
29597,Direct,Tier 2,469.44,USA,1,12/05/2022,1 Year,26/03/2021,4,Renewed,Small,New
29597,Direct,Tier 2,414.16,USA,2,30/05/2023,1 Year,30/05/2022,2,Renewed,Small,Downgrade
29597,Direct,Tier 2,414.16,USA,3,12/06/2024,1 Year,12/06/2023,2,Ongoing,Small,Renewal
29699,Online,Tier 2,1117.93,USA,1,26/03/2023,2 Year,26/03/2021,3,Churned,Small,New
29750,Online,Tier 2,138.18,USA,1,26/04/2021,1 Month,26/03/2021,5,Renewed,Small,New
29750,Online,Tier 2,138.18,USA,2,26/05/2021,1 Month,26/04/2021,5,Churned,Small,Renewal
29801,Online,Tier 2,621.24,USA,1,26/03/2022,1 Year,26/03/2021,3,Churned,Small,New
29852,Direct,Tier 2,97.79,USA,1,28/04/2021,1 Month,28/03/2021,3,Renewed,Small,New
29852,Direct,Tier 2,1221.29,USA,2,21/04/2025,2 Year,21/04/2023,3,Ongoing,Small,Renewal
29903,Direct,Tier 2,382.68,USA,1,29/05/2021,1 Month,29/03/2021,10,Churned,Small,New
30056,Online,Tier 2,1317.78,USA,1,30/03/2023,2 Year,30/03/2021,3,Renewed,Small,New
30056,Online,Tier 2,1066.85,USA,2,31/08/2023,2 Year,31/08/2021,4,Renewed,Small,Upgrade
30056,Online,Tier 2,3140.47,USA,3,30/03/2025,2 Year,30/03/2023,8,Ongoing,Small,Upgrade
30260,Direct,Tier 2,2835.82,USA,1,01/04/2022,1 Year,30/03/2021,14,Renewed,Small,New
30260,Direct,Tier 2,6902.7,USA,2,31/03/2023,1 Year,31/03/2022,35,Churned,Small,Upgrade
30413,Direct,Tier 2,4246.46,USA,1,45175,1 Year,44287,20,Renewed,Small,New
30413,Direct,Tier 2,3376.22,USA,2,06/09/2024,1 Year,06/09/2023,15,Ongoing,Small,Downgrade
30617,Online,Tier 2,745.28,USA,1,01/04/2023,2 Year,01/04/2021,2,Churned,Small,New
30770,Direct,Tier 2,829.1,USA,1,30/07/2021,1 Month,28/06/2021,30,Renewed,Small,New
30770,Direct,Tier 2,829.1,USA,2,28/08/2021,1 Month,28/07/2021,30,Renewed,Small,Renewal
30770,Direct,Tier 2,1105.47,USA,3,28/09/2021,1 Month,28/08/2021,40,Renewed,Small,Upgrade
30770,Direct,Tier 2,967.29,USA,4,28/10/2021,1 Month,28/09/2021,35,Renewed,Small,Downgrade
30770,Direct,Tier 2,967.29,USA,5,28/11/2021,1 Month,28/10/2021,35,Renewed,Small,Renewal
30770,Direct,Tier 2,967.29,USA,6,28/12/2021,1 Month,28/11/2021,35,Renewed,Small,Renewal
30770,Direct,Tier 2,967.29,USA,7,28/01/2022,1 Month,28/12/2021,35,Renewed,Small,Renewal
30770,Direct,Tier 2,967.29,USA,8,28/02/2022,1 Month,28/01/2022,35,Renewed,Medium,Renewal
30770,Direct,Tier 2,967.29,USA,9,28/03/2022,1 Month,28/02/2022,35,Renewed,Small,Renewal
30770,Direct,Tier 2,967.29,USA,10,28/04/2022,1 Month,28/03/2022,35,Renewed,Small,Renewal
30770,Direct,Tier 2,967.29,USA,11,28/05/2022,1 Month,28/04/2022,35,Renewed,Small,Renewal
30770,Direct,Tier 2,967.29,USA,12,28/06/2022,1 Month,28/05/2022,35,Renewed,Small,Renewal
30770,Direct,Tier 2,967.29,USA,13,28/07/2022,1 Month,28/06/2022,35,Renewed,Small,Renewal
30770,Direct,Tier 2,967.29,USA,14,28/08/2022,1 Month,28/07/2022,35,Renewed,Small,Renewal
30770,Direct,Tier 2,967.29,USA,15,28/09/2022,1 Month,28/08/2022,35,Renewed,Small,Renewal
30770,Direct,Tier 2,967.29,USA,16,28/10/2022,1 Month,28/09/2022,35,Renewed,Small,Renewal
30770,Direct,Tier 2,967.29,USA,17,28/11/2022,1 Month,28/10/2022,35,Renewed,Small,Renewal
30770,Direct,Tier 2,967.29,USA,18,28/12/2022,1 Month,28/11/2022,35,Renewed,Medium,Renewal
30770,Direct,Tier 2,967.29,USA,19,28/01/2023,1 Month,28/12/2022,35,Renewed#N/A,Small,Renewal
30770,Direct,Tier 2,3141.25,USA,20,45185,1 Month,44956,45,Renewed,Small,Upgrade
30770,Direct,Tier 2,2588.51,USA,21,18/03/2024,1 Month,18/09/2023,25,Renewed,Small,Downgrade
30770,Direct,Tier 2,2588.51,USA,22,18/09/2024,1 Month,18/03/2024,25,Ongoing,Small,Renewal
31076,Online,Tier 2,3065.04,USA,1,11/04/2023,2 Year,11/04/2021,6,Churned,Small,New
31382,Direct,Tier 2,276.37,USA,1,13/05/2021,1 Month,13/04/2021,5,Renewed,Small,New
31382,Direct,Tier 2,138.18,USA,2,14/06/2021,1 Month,14/05/2021,5,Renewed,Small,Renewal
31382,Direct,Tier 2,138.18,USA,3,14/07/2021,1 Month,07/06/2021,5,Renewed,Small,Renewal
31382,Direct,Tier 2,138.18,USA,4,14/08/2021,1 Month,14/07/2021,5,Churned,Small,Renewal
31943,Online,Tier 2,981.47,USA,1,14/04/2022,1 Year,14/04/2021,6,Renewed,Small,New
31943,Online,Tier 2,1430.28,USA,2,14/04/2023,1 Year,14/04/2022,7,Renewed,Small,Upgrade
31943,Online,Tier 2,1558.64,USA,3,14/04/2024,1 Year,14/04/2023,9,Renewed,Small,Upgrade
